2025-05-15 20:44:38,407 - INFO - Utilisation de l'appareil : cuda
2025-05-15 20:45:06,068 - INFO - Epoch 82/100, Loss: 0.004298
2025-05-15 20:45:06,555 - INFO - Epoch 83/100, Loss: 0.004289
2025-05-15 20:45:07,043 - INFO - Epoch 84/100, Loss: 0.006422
2025-05-15 20:45:07,535 - INFO - Epoch 85/100, Loss: 0.004323
2025-05-15 20:45:08,019 - INFO - Epoch 86/100, Loss: 0.004266
2025-05-15 20:45:08,493 - INFO - Epoch 87/100, Loss: 0.004589
2025-05-15 20:45:08,981 - INFO - Epoch 88/100, Loss: 0.004200
2025-05-15 20:45:09,453 - INFO - Epoch 89/100, Loss: 0.004120
2025-05-15 20:45:09,943 - INFO - Epoch 90/100, Loss: 0.004088
2025-05-15 20:45:10,419 - INFO - Epoch 91/100, Loss: 0.004143
2025-05-15 20:45:10,899 - INFO - Epoch 92/100, Loss: 0.003992
2025-05-15 20:45:11,385 - INFO - Epoch 93/100, Loss: 0.004006
2025-05-15 20:45:11,877 - INFO - Epoch 94/100, Loss: 0.004161
2025-05-15 20:45:12,373 - INFO - Epoch 95/100, Loss: 0.004917
2025-05-15 20:45:12,864 - INFO - Epoch 96/100, Loss: 0.004832
2025-05-15 20:45:13,380 - INFO - Epoch 97/100, Loss: 0.004467
2025-05-15 20:45:13,867 - INFO - Epoch 98/100, Loss: 0.004096
2025-05-15 20:45:14,357 - INFO - Epoch 99/100, Loss: 0.004228
2025-05-15 20:45:14,837 - INFO - Epoch 100/100, Loss: 0.004343
2025-05-15 20:45:14,906 - INFO - Test Loss: 0.008151
2025-05-15 20:45:14,926 - INFO - Modèle sauvegardé sous models/lstm_safran.pth
