2025-05-15 20:38:13,067 - INFO - Utilisation de l'appareil : cuda
2025-05-15 20:38:28,156 - INFO - Epoch 82/100, Loss: 0.004312
2025-05-15 20:38:28,493 - INFO - Epoch 83/100, Loss: 0.004336
2025-05-15 20:38:28,831 - INFO - Epoch 84/100, Loss: 0.004511
2025-05-15 20:38:29,212 - INFO - Epoch 85/100, Loss: 0.004180
2025-05-15 20:38:29,492 - INFO - Epoch 86/100, Loss: 0.004447
2025-05-15 20:38:29,801 - INFO - Epoch 87/100, Loss: 0.004322
2025-05-15 20:38:30,013 - INFO - Epoch 88/100, Loss: 0.004805
2025-05-15 20:38:30,233 - INFO - Epoch 89/100, Loss: 0.004142
2025-05-15 20:38:30,453 - INFO - Epoch 90/100, Loss: 0.004288
2025-05-15 20:38:30,672 - INFO - Epoch 91/100, Loss: 0.004864
2025-05-15 20:38:30,848 - INFO - Epoch 92/100, Loss: 0.004919
2025-05-15 20:38:31,002 - INFO - Epoch 93/100, Loss: 0.004491
2025-05-15 20:38:31,156 - INFO - Epoch 94/100, Loss: 0.004284
2025-05-15 20:38:31,310 - INFO - Epoch 95/100, Loss: 0.004175
2025-05-15 20:38:31,463 - INFO - Epoch 96/100, Loss: 0.004726
2025-05-15 20:38:31,621 - INFO - Epoch 97/100, Loss: 0.004071
2025-05-15 20:38:31,778 - INFO - Epoch 98/100, Loss: 0.004290
2025-05-15 20:38:31,939 - INFO - Epoch 99/100, Loss: 0.004467
2025-05-15 20:38:32,094 - INFO - Epoch 100/100, Loss: 0.004479
2025-05-15 20:38:32,117 - INFO - Test Loss: 0.019853
