date,close,high,low,open,volume,ma_5,ma_20,return_1d
2010-01-29,11.215197563171387,11.306120729520124,11.104507999348384,11.219150088655274,468746,11.1883150100708,11.413647079467774,0.009249490010907913
2010-02-01,11.36541748046875,11.480060314370887,11.187523687865747,11.215196642056918,536803,11.196221542358398,11.43380846977234,0.013394317527732014
2010-02-02,11.563077926635742,11.563077926635742,11.321933154232648,11.456341641734932,582061,11.261844635009766,11.437366342544555,0.0173913933655907
2010-02-03,11.57493782043457,11.71725211363732,11.46029497595441,11.582843625493464,476686,11.366208839416505,11.444877433776856,0.0010256692788956911
2010-02-04,11.227055549621582,11.614467854096127,11.211243187199607,11.55121689638644,869582,11.389137268066406,11.436773347854615,-0.030054785279177154
2010-02-05,11.033350944519043,11.155899598014393,10.808019281830141,11.108461750085675,909070,11.352767944335938,11.413844871520997,-0.017253375495150935
2010-02-08,11.041258811950684,11.14008855319047,10.894990463150922,11.041258811950684,541231,11.287936210632324,11.376289749145508,0.0007167240008412179
2010-02-09,11.128226280212402,11.20729035752558,10.997771080453308,11.041256398376648,579562,11.200965881347656,11.362058067321778,0.007876589956173019
2010-02-10,11.171711921691895,11.412856685871308,11.068928919812324,11.191477564587181,639675,11.120320701599121,11.339920139312744,0.003907688465754511
2010-02-11,11.389137268066406,11.424716029294157,11.203337656996675,11.242869697695394,733106,11.152737045288086,11.330234861373901,0.019462133278995708
2010-02-12,11.250775337219238,11.44052897898117,11.211244051112663,11.404950218276493,671907,11.196221923828125,11.309875917434692,-0.012148587517257892
2010-02-15,11.298213958740234,11.306120517581729,11.179618592161612,11.250775359702214,339297,11.247612953186035,11.2958420753479,0.004216475762702565
2010-02-16,11.404950141906738,11.428669064214047,11.219149780801809,11.345652459132994,570134,11.302957725524902,11.28734269142151,0.009447173115705976
2010-02-17,11.578890800476074,11.7409714871612,11.444482315808756,11.464247958961204,735493,11.384393501281739,11.28516845703125,0.015251330028195564
